crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm,District Name,salinity_alkalinity_percentage
Finger Millet,,,,106,2017,7,Maharashtra,101756,49267,38343,Solapur,Solapur,906.30998,Solapur,3.721281441
Finger Millet,21.299999,34.0,0.0,107,2017,7,Maharashtra,70996,31024,30580,Kolhapur,Kolhapur,2995.15002,Kolhapur,1.226774015
Finger Millet,,,,108,2017,7,Maharashtra,136182,72462,41774,Aurangabad,Aurangabad,1300.21667,Aurangabad,0.870511425
Finger Millet,,,,109,2017,7,Maharashtra,52514,39238,16574,Parbhani,Parbhani,665.220003,Parbhani,0.0
Finger Millet,,,,110,2017,7,Maharashtra,60321,41388,21125,Beed,Beed,702.41001,Beed,0.0
Finger Millet,,,,111,2017,7,Maharashtra,75364,56691,30042,Nanded,Nanded,817.17001,Nanded,0.23905484
Finger Millet,,,,112,2017,7,Maharashtra,57017,50445,19119,Osmanabad,Osmanabad,603.700001,Osmanabad,0.061651055
Finger Millet,,,,113,2017,7,Maharashtra,46834,37943,13656,Buldhana,Buldhana,294.050005,Buldhana,2.436014768
Finger Millet,,,,114,2017,7,Maharashtra,34359,30699,10789,Akola,Akola,266.323455,Akola,7.86291722
Finger Millet,,,,115,2017,7,Maharashtra,35041,25616,13467,Amravati,Amravati,454.040013,Amravati,7.95235118
Finger Millet,,,,117,2017,7,Maharashtra,30404,21073,16426,Wardha,Wardha,749.32998,Wardha,0.0
Finger Millet,,,,118,2017,7,Maharashtra,50667,30322,10873,Nagpur,Nagpur,894.6800000000001,Nagpur,0.0
Finger Millet,,,,119,2017,7,Maharashtra,39166,17288,2044,Bhandara,Bhandara,857.3499899999999,Bhandara,0.0
Finger Millet,,,,120,2017,7,Maharashtra,56306,27211,6878,Chandrapur,Chandrapur,792.41,Chandrapur,0.028132066
Finger Millet,,,,121,2017,3,Gujarat,94632,24161,2928,Ahmadabad,Ahmadabad,577.830477,Ahmadabad,83.01628856
Finger Millet,,,,122,2017,3,Gujarat,47379,24276,2811,Amreli,Amreli,0.0,Amreli,27.80520836
Finger Millet,,,,123,2017,3,Gujarat,120126,36046,12799,Banas Kantha,Banas Kantha,992.529998,Banas Kantha,71.26614624
Finger Millet,,,,124,2017,3,Gujarat,45972,10291,10661,Bharuch,Bharuch,759.0399970000001,Bharuch,47.63096805
Finger Millet,,,,125,2017,3,Gujarat,77898,14371,8959,Vadodara,Vadodara,583.030008,Vadodara,4.29097786
Finger Millet,,,,126,2017,3,Gujarat,62843,29291,5417,Bhavnagar,Bhavnagar,560.5528509999999,Bhavnagar,44.3074253
Finger Millet,4.3200002,3.1400001,0.0,127,2017,3,Gujarat,31633,10840,9019,Valsad,Valsad,2136.90011,Valsad,2.452587927
Finger Millet,7.5599999,7.5100002,0.0,128,2017,3,Gujarat,503,107,56,Dang,Dang,1218.66999,Dang,0.0
Finger Millet,,,,129,2017,3,Gujarat,46817,29139,4865,Jamnagar,Jamnagar,688.27998,Jamnagar,17.3893176
Finger Millet,,,,130,2017,3,Gujarat,64706,33437,7048,Junagadh,Junagadh,0.0,Junagadh,16.38507966
Finger Millet,,,,131,2017,3,Gujarat,128342,16619,7165,Kheda,Kheda,530.939916,Kheda,8.393974429
Finger Millet,,,,135,2017,3,Gujarat,108519,54681,12824,Rajkot,Rajkot,809.272438,Rajkot,0.471389363
Finger Millet,,,,136,2017,3,Gujarat,81747,23767,14109,Sabar Kantha,Sabar Kantha,798.430016,Sabar Kantha,0.074435133
Finger Millet,,,,137,2017,3,Gujarat,80074,30311,27213,Surat,Surat,1027.95003,Surat,17.13575214
Finger Millet,,,,138,2017,3,Gujarat,83525,31749,2648,Surendranagar,Surendranagar,874.500002,Surendranagar,47.37891282
Finger Millet,,,,139,2017,10,Rajasthan,10572,6290,62,Ajmer,Ajmer,477.6,Ajmer,27.88060649
Finger Millet,,,,140,2017,10,Rajasthan,37580,5713,1337,Alwar,Alwar,530.44001,Alwar,0.81667436
Finger Millet,,,,141,2017,10,Rajasthan,32995,5817,500,Banswara,Banswara,52.9400011,Banswara,0.0
Finger Millet,,,,142,2017,10,Rajasthan,12912,2366,281,Barmer,Barmer,703.480009,Barmer,1.063863302
Finger Millet,,,,143,2017,10,Rajasthan,61795,20378,599,Bharatpur,Bharatpur,458.149991,Bharatpur,1.399002977
Finger Millet,,,,144,2017,10,Rajasthan,22307,5226,239,Bhilwara,Bhilwara,521.460001,Bhilwara,49.76963879
Finger Millet,,,,145,2017,10,Rajasthan,22487,10645,232,Bikaner,Bikaner,278.210009,Bikaner,1.039775124
Finger Millet,,,,146,2017,10,Rajasthan,40163,12315,382,Bundi,Bundi,503.719999,Bundi,0.45908667
Finger Millet,,,,147,2017,10,Rajasthan,45171,17017,1479,Chittorgarh,Chittorgarh,562.460006,Chittorgarh,0.395399888
Finger Millet,,,,148,2017,10,Rajasthan,8065,1810,39,Churu,Churu,336.340003,Churu,1.570908906
Finger Millet,,,,149,2017,10,Rajasthan,6142,858,73,Dungarpur,Dungarpur,62.9500017,Dungarpur,0.0
