crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname,district,kharif_rainfall_mm
Finger Millet,,,,198,2017,12,Uttar Pradesh,71089,28153,5522,Etah,Etah,440.159997
Finger Millet,,,,199,2017,12,Uttar Pradesh,61248,18465,3575,Bareilly,Bareilly,826.240009
Finger Millet,,,,200,2017,12,Uttar Pradesh,70074,24426,4650,Budaun,Budaun,654.770011
Finger Millet,,,,201,2017,12,Uttar Pradesh,77372,21815,4821,Moradabad,Moradabad,897.1
Finger Millet,,,,202,2017,12,Uttar Pradesh,109135,34321,7757,Shahjahanpur,Shahjahanpur,791.269999
Finger Millet,,,,203,2017,12,Uttar Pradesh,43952,12733,3917,Pilibhit,Pilibhit,991.670003
Finger Millet,,,,204,2017,12,Uttar Pradesh,26893,5349,1051,Rampur,Rampur,857.379998
Finger Millet,,,,205,2017,12,Uttar Pradesh,42398,14381,3426,Bijnor,Bijnor,611.789981
Finger Millet,,,,206,2017,12,Uttar Pradesh,97642,27112,10933,Farrukhabad,Farrukhabad,630.25
Finger Millet,,,,207,2017,12,Uttar Pradesh,67862,27997,2552,Etawah,Etawah,450.760001
Finger Millet,,,,208,2017,12,Uttar Pradesh,124649,45131,7720,Kanpur,Kanpur,804.090001
Finger Millet,,,,209,2017,12,Uttar Pradesh,49651,20660,2863,Fatehpur,Fatehpur,728.309991
Finger Millet,,,,210,2017,12,Uttar Pradesh,108387,39828,13191,Prayagraj,Prayagraj,668.74999
Finger Millet,,,,211,2017,12,Uttar Pradesh,66983,48399,2534,Jhansi,Jhansi,450.439993
Finger Millet,,,,213,2017,12,Uttar Pradesh,34091,17988,1110,Jalaun,Jalaun,415.319999
Finger Millet,,,,214,2017,12,Uttar Pradesh,33248,20580,1666,Hamirpur,Hamirpur,1487.169973
Finger Millet,,,,215,2017,12,Uttar Pradesh,31565,19178,2047,Banda,Banda,725.660014
Finger Millet,,,,216,2017,12,Uttar Pradesh,87883,26904,4706,Varanasi,Varanasi,722.7200029999999
Finger Millet,,,,218,2017,12,Uttar Pradesh,48177,17780,2322,Jaunpur,Jaunpur,781.48
Finger Millet,,,,219,2017,12,Uttar Pradesh,47591,18207,2463,Ghazipur,Ghazipur,694.669997
Finger Millet,,,,220,2017,12,Uttar Pradesh,35302,15283,2455,Ballia,Ballia,722.700012
Finger Millet,,,,221,2017,12,Uttar Pradesh,111370,33124,9619,Gorakhpur,Gorakhpur,967.42
Finger Millet,,,,222,2017,12,Uttar Pradesh,62812,23174,5327,Deoria,Deoria,842.89001
Finger Millet,,,,223,2017,12,Uttar Pradesh,88716,31875,7716,Basti,Basti,886.90999
Finger Millet,,,,224,2017,12,Uttar Pradesh,79550,30817,4398,Azamgarh,Azamgarh,924.900011
Finger Millet,,,,225,2017,12,Uttar Pradesh,21074,9715,622,Lucknow,Lucknow,727.330004
Finger Millet,,,,226,2017,12,Uttar Pradesh,41140,16272,1593,Unnao,Unnao,606.410013
Finger Millet,,,,227,2017,12,Uttar Pradesh,75823,30469,3511,Rae Bareli,Rae Bareli,725.250015
Finger Millet,,,,228,2017,12,Uttar Pradesh,88206,32282,7455,Sitapur,Sitapur,825.9399940000001
Finger Millet,,,,229,2017,12,Uttar Pradesh,94914,35036,2807,Hardoi,Hardoi,649.749995
Finger Millet,,,,230,2017,12,Uttar Pradesh,45798,15564,4193,Kheri,Kheri,1036.252406
Finger Millet,,,,231,2017,12,Uttar Pradesh,62705,23442,4158,Ayodhya,Ayodhya,674.71
Finger Millet,,,,232,2017,12,Uttar Pradesh,60511,21845,5206,Gonda,Gonda,817.03999
Finger Millet,,,,233,2017,12,Uttar Pradesh,76222,28989,12216,Bahraich,Bahraich,863.960011
Finger Millet,,,,234,2017,12,Uttar Pradesh,50043,20285,2169,Sultanpur,Sultanpur,609.54
Finger Millet,,,,235,2017,12,Uttar Pradesh,28992,11866,4210,Pratapgarh,Pratapgarh,777.0900158
Finger Millet,,,,236,2017,12,Uttar Pradesh,57527,17469,2933,Barabanki,Barabanki,748.220009
Finger Millet,1.9,3.1099999,0.029999999,237,2017,16,Uttarakhand,117390,15316,6314,Nainital,Nainital,1074.78997
Finger Millet,36.919998,40.279999,0.02,238,2017,16,Uttarakhand,428,112,36,Almora,Almora,940.73999
Finger Millet,11.92,19.790001,0.0,239,2017,16,Uttarakhand,475,127,43,Pithoragarh,Pithoragarh,903.71001
Finger Millet,16.209999,23.91,0.0,240,2017,16,Uttarakhand,86,45,2,Chamoli,Chamoli,851.64001
Finger Millet,5.23,9.2200003,0.0,241,2017,16,Uttarakhand,137,149,33,Uttar Kashi,Uttar Kashi,804.71
