,crop,area1000hectares,production1000tonnes,irrigatedarea1000hectares,districtcode,year,statecode,statename,nitrogenconsumptiontonnes,phosphateconsumptiontonnes,potashconsumptiontonnes,districtname
3271,Wheat,86.080002,285.82999,86.089996,161,2017,10,Rajasthan,15594,5243,286,Sikar
3325,Sugarcane,0.52999997,3.4200001,0.54000002,164,2017,10,Rajasthan,34494,10333,2659,Udaipur
3370,Maize,2.0,5.0,2.27,166,2017,9,Punjab,137546,37153,5623,Amritsar
3379,Sesamum,1.2,0.40000001,1.24,166,2017,9,Punjab,137546,37153,5623,Amritsar
3386,Wheat,375.0,1791.0,375.31,166,2017,9,Punjab,137546,37153,5623,Amritsar
3388,Minor Pulses,0.30000001,0.30000001,0.38,167,2017,9,Punjab,43368,6625,2281,Kapurthala
3392,Rice,118.0,513.0,118.42,167,2017,9,Punjab,43368,6625,2281,Kapurthala
3396,Sugarcane,4.0,33.5,4.0900002,167,2017,9,Punjab,43368,6625,2281,Kapurthala
3403,Wheat,108.0,523.0,108.27,167,2017,9,Punjab,43368,6625,2281,Kapurthala
3410,Pigeonpea,0.30000001,0.30000001,0.336,168,2017,9,Punjab,84815,29066,4517,Jalandhar
3455,Pigeonpea,0.1,0.1,0.13500001,170,2017,9,Punjab,27850,8908,2929,Roopnagar / Ropar
3457,Barley,0.15000001,0.60000002,0.175,170,2017,9,Punjab,27850,8908,2929,Roopnagar / Ropar
3467,Sugarcane,3.5,26.799999,4.25,170,2017,9,Punjab,27850,8908,2929,Roopnagar / Ropar
3480,Pigeonpea,0.60000002,0.60000002,0.68199998,171,2017,9,Punjab,167082,26004,2370,Ludhiana
3486,Maize,1.0,4.0,1.4170001,171,2017,9,Punjab,167082,26004,2370,Ludhiana
3488,Sugarcane,3.45,31.049999,3.4849999,171,2017,9,Punjab,167082,26004,2370,Ludhiana
3503,Maize,1.0,4.0,1.444,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3505,Pigeonpea,0.60000002,0.69999999,0.69999999,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3506,Cotton,112.12,86.449997,112.88,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3510,Sesamum,0.47,0.27000001,0.477,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3511,Sugarcane,2.0,14.7,2.809,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3513,Wheat,768.47998,3933.8999,769.341,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3517,Rice,641.06,2726.5801,641.185,172,2017,9,Punjab,234282,61477,8041,Ferozpur
3521,Pigeonpea,0.1,0.1,0.23,174,2017,9,Punjab,187996,33795,9297,Bhatinda
3526,Pearl Millet,0.60000002,0.40000001,0.61000001,174,2017,9,Punjab,187996,33795,9297,Bhatinda
3527,Rice,388.94,1783.42,388.995,174,2017,9,Punjab,187996,33795,9297,Bhatinda
3529,Wheat,556.52002,2920.1001,556.93903,174,2017,9,Punjab,187996,33795,9297,Bhatinda
3535,Cotton,168.88,137.28999,168.97,174,2017,9,Punjab,187996,33795,9297,Bhatinda
3543,Chickpea,0.1,0.2,0.161,175,2017,9,Punjab,139068,36351,4210,Sangrur
3550,Rice,403.88,2038.6,404.086,175,2017,9,Punjab,139068,36351,4210,Sangrur
3561,Pigeonpea,0.30000001,0.30000001,0.301,175,2017,9,Punjab,139068,36351,4210,Sangrur
3562,Pearl Millet,0.2,0.1,0.252,175,2017,9,Punjab,139068,36351,4210,Sangrur
3570,Chickpea,0.050000001,0.050000001,0.068000004,176,2017,9,Punjab,158811,21365,6382,Patiala
3572,Rice,314.72,1359.15,315.064,176,2017,9,Punjab,158811,21365,6382,Patiala
3573,Maize,4.0,16.5,4.073,176,2017,9,Punjab,158811,21365,6382,Patiala
3578,Sugarcane,4.8099999,43.549999,5.1729999,176,2017,9,Punjab,158811,21365,6382,Patiala
3580,Pigeonpea,0.1,0.1,0.14300001,176,2017,9,Punjab,158811,21365,6382,Patiala
3589,Barley,10.39,35.360001,10.55,177,2017,4,Haryana,294303,93574,14466,Hissar
3609,Minor Pulses,1.3,17.1,2.0,180,2017,4,Haryana,86086,26452,4543,Gurgaon
3614,Barley,2.3,10.0,3.0,180,2017,4,Haryana,86086,26452,4543,Gurgaon
3636,Cotton,63.900002,31.85,64.260002,181,2017,4,Haryana,100027,22141,4945,Jind
3641,Rice,165.64999,491.38,165.88,181,2017,4,Haryana,100027,22141,4945,Jind
3666,Cotton,65.720001,30.82,66.019997,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
3670,Barley,2.7,9.9899998,3.3199999,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
3672,Rice,10.59,25.52,10.73,182,2017,4,Haryana,69467,28506,3232,Mahendragarh / Narnaul
3698,Minor Pulses,0.89999998,17.0,1.0,184,2017,4,Haryana,269227,53753,9657,Karnal
3704,Pearl Millet,2.45,4.9200001,2.6400001,184,2017,4,Haryana,269227,53753,9657,Karnal
3709,Wheat,515.45001,2536.6201,515.67999,184,2017,4,Haryana,269227,53753,9657,Karnal
3728,Minor Pulses,1.5,11.0,2.1300001,186,2017,4,Haryana,119225,31168,3532,Rohtak
